                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.48276,                0.28437,                0.94385,                0.99851,                      1,                  0.995,                0.94371,                0.36717,                0.18358,                0.86241,               0.006436,               0.006436,               0.006436
                     38,                0.48727,                0.28429,                0.94086,                0.99895,                      1,                  0.995,                0.95041,                0.33412,                0.16393,                0.85998,               0.006337,               0.006337,               0.006337
                     39,                0.48515,                0.28708,                0.94798,                0.99894,                      1,                  0.995,                0.92727,                0.40397,                0.20293,                0.91591,               0.006238,               0.006238,               0.006238
                     40,                0.47609,                 0.2824,                 0.9439,                0.99872,                      1,                  0.995,                0.94478,                0.35351,                0.16121,                0.86904,               0.006139,               0.006139,               0.006139
                     41,                0.45982,                 0.2746,                0.93356,                0.99871,                      1,                  0.995,                0.93776,                0.37308,                0.17031,                0.88372,                0.00604,                0.00604,                0.00604
                     42,                0.46116,                0.27717,                0.93109,                0.99894,                      1,                  0.995,                0.95314,                0.33994,                0.17538,                0.85947,               0.005941,               0.005941,               0.005941
                     43,                 0.4613,                0.28005,                0.93762,                0.99887,                      1,                  0.995,                0.94616,                0.33573,                 0.1732,                0.86871,               0.005842,               0.005842,               0.005842
                     44,                0.45682,                0.27036,                0.93989,                0.99898,                      1,                  0.995,                0.94948,                0.33877,                0.17363,                 0.8591,               0.005743,               0.005743,               0.005743
                     45,                0.44677,                0.27426,                0.92859,                0.99909,                      1,                  0.995,                0.95103,                0.33326,                0.16492,                0.85811,               0.005644,               0.005644,               0.005644
                     46,                0.44651,                0.27581,                0.93237,                 0.9986,                      1,                  0.995,                0.95588,                0.33503,                0.16499,                0.85642,               0.005545,               0.005545,               0.005545
                     47,                0.44965,                 0.2723,                0.92633,                0.99877,                      1,                  0.995,                0.95391,                0.30869,                0.15893,                0.84953,               0.005446,               0.005446,               0.005446
                     48,                0.44643,                0.26656,                 0.9301,                0.99873,                      1,                  0.995,                0.95202,                0.33016,                0.19277,                0.85407,               0.005347,               0.005347,               0.005347
                     49,                0.42579,                 0.2569,                0.92507,                0.99861,                      1,                  0.995,                0.95189,                0.32179,                0.16635,                0.85369,               0.005248,               0.005248,               0.005248
                     50,                0.42509,                 0.2601,                0.91729,                0.99827,                      1,                  0.995,                0.95029,                0.31662,                0.16653,                0.84947,               0.005149,               0.005149,               0.005149
                     51,                0.41227,                0.25043,                0.91499,                0.99781,                      1,                  0.995,                0.95404,                0.33406,                 0.1631,                0.85266,                0.00505,                0.00505,                0.00505
                     52,                0.42221,                0.25665,                0.91627,                0.99824,                      1,                  0.995,                0.95872,                0.29454,                0.14739,                0.84652,               0.004951,               0.004951,               0.004951
                     53,                  0.408,                0.25178,                0.91863,                0.99825,                      1,                  0.995,                0.95166,                0.30301,                0.17509,                0.85281,               0.004852,               0.004852,               0.004852
                     54,                0.40619,                0.25261,                0.91988,                0.99864,                      1,                  0.995,                0.95852,                0.29457,                0.16887,                0.83936,               0.004753,               0.004753,               0.004753
                     55,                 0.4134,                0.24948,                0.92082,                0.99862,                      1,                  0.995,                 0.9594,                0.29752,                0.16401,                0.84309,               0.004654,               0.004654,               0.004654
                     56,                0.40228,                0.25098,                0.91685,                0.99854,                      1,                  0.995,                0.95853,                0.30811,                0.16507,                0.84514,               0.004555,               0.004555,               0.004555
                     57,                0.40492,                0.24685,                0.91581,                0.99862,                      1,                  0.995,                0.94871,                0.33192,                0.15423,                0.86107,               0.004456,               0.004456,               0.004456
                     58,                0.40607,                0.24918,                0.91791,                0.99837,                      1,                  0.995,                 0.9489,                0.33158,                0.16898,                0.86619,               0.004357,               0.004357,               0.004357
                     59,                0.39375,                0.24034,                0.91576,                0.99872,                      1,                  0.995,                0.96384,                0.28495,                0.14182,                0.83679,               0.004258,               0.004258,               0.004258
                     60,                0.39489,                0.23989,                0.91317,                0.99839,                      1,                  0.995,                0.95749,                0.29272,                0.14289,                0.83892,               0.004159,               0.004159,               0.004159
                     61,                0.39243,                0.24216,                0.91683,                0.99814,                      1,                  0.995,                0.96389,                0.26834,                0.15763,                0.83004,                0.00406,                0.00406,                0.00406
                     62,                0.38623,                0.24464,                0.91981,                0.99869,                      1,                  0.995,                0.94942,                0.30896,                   0.15,                0.86249,               0.003961,               0.003961,               0.003961
                     63,                0.38729,                0.23544,                0.91373,                0.99855,                      1,                  0.995,                0.94092,                 0.3463,                0.16288,                0.88577,               0.003862,               0.003862,               0.003862
                     64,                0.38446,                0.23732,                0.90979,                0.99865,                      1,                  0.995,                0.96516,                0.27433,                0.13869,                0.83394,               0.003763,               0.003763,               0.003763
                     65,                0.38109,                0.23466,                0.90993,                0.99869,                      1,                  0.995,                 0.9606,                0.27139,                0.15283,                0.83955,               0.003664,               0.003664,               0.003664
                     66,                0.36915,                0.23095,                 0.9087,                0.99885,                      1,                  0.995,                0.96409,                0.27373,                 0.1417,                0.83299,               0.003565,               0.003565,               0.003565
                     67,                0.36427,                0.22324,                0.90306,                0.99861,                      1,                  0.995,                0.96883,                0.25769,                0.13525,                0.82591,               0.003466,               0.003466,               0.003466
                     68,                0.36523,                0.22265,                0.90477,                0.99856,                      1,                  0.995,                 0.9618,                0.28663,                0.14894,                0.83499,               0.003367,               0.003367,               0.003367
                     69,                0.35795,                0.22129,                0.90581,                0.99863,                      1,                  0.995,                0.95139,                0.29196,                0.14217,                0.85443,               0.003268,               0.003268,               0.003268
                     70,                0.35904,                0.22423,                0.90292,                 0.9988,                      1,                  0.995,                0.96786,                0.26079,                0.13664,                0.82824,               0.003169,               0.003169,               0.003169
                     71,                0.35821,                0.22295,                0.91007,                0.99854,                      1,                  0.995,                 0.9605,                0.28012,                0.14168,                0.83654,                0.00307,                0.00307,                0.00307
                     72,                0.36406,                0.22461,                 0.9081,                 0.9984,                      1,                  0.995,                0.96411,                0.27821,                0.14679,                0.83602,               0.002971,               0.002971,               0.002971
                     73,                0.34789,                0.22012,                0.89881,                0.99847,                      1,                  0.995,                0.95563,                0.28434,                 0.1478,                0.84595,               0.002872,               0.002872,               0.002872
                     74,                0.35724,                0.21872,                0.90894,                0.99837,                      1,                  0.995,                0.96292,                0.26092,                0.13416,                0.82973,               0.002773,               0.002773,               0.002773
                     75,                 0.3423,                0.20932,                0.90138,                0.99832,                      1,                  0.995,                0.96055,                0.26229,                0.13816,                0.83733,               0.002674,               0.002674,               0.002674
                     76,                0.33541,                0.21021,                0.89624,                0.99849,                      1,                  0.995,                0.96461,                0.25534,                0.13308,                 0.8252,               0.002575,               0.002575,               0.002575
                     77,                0.34944,                0.21426,                0.89991,                0.99879,                      1,                  0.995,                0.96153,                0.28471,                0.13558,                0.83979,               0.002476,               0.002476,               0.002476
                     78,                0.33384,                0.20514,                 0.8988,                0.99884,                      1,                  0.995,                0.96584,                0.25103,                0.12801,                0.83064,               0.002377,               0.002377,               0.002377
                     79,                0.32965,                 0.2036,                0.89084,                0.99857,                      1,                  0.995,                0.96418,                0.25468,                  0.143,                0.82743,               0.002278,               0.002278,               0.002278
                     80,                 0.3286,                0.20331,                 0.8983,                0.99885,                      1,                  0.995,                0.97047,                0.23689,                0.12344,                 0.8199,               0.002179,               0.002179,               0.002179
                     81,                0.33618,                0.20836,                0.89838,                0.99852,                      1,                  0.995,                0.96347,                0.25705,                0.13718,                0.83341,                0.00208,                0.00208,                0.00208
